handouts,lectures,discussion_problems,assignments
,lectures/00/Slides00.pdf,,
,lectures/00/Small00.pdf,,
,lectures/01/Slides01.pdf,,
,lectures/01/Small01.pdf,,
,lectures/02/Slides02.pdf,,
,lectures/02/Small02.pdf,,
,lectures/03/Slides03.pdf,,
,lectures/03/Small03.pdf,,
,lectures/04/Slides04.pdf,,
,lectures/04/Small04.pdf,,
,lectures/05/Slides05.pdf,,
,lectures/05/Small05.pdf,,
,lectures/06/Slides06.pdf,,
,lectures/06/Small06.pdf,,
,lectures/07/Slides07.pdf,,
,lectures/07/Small07.pdf,,
,lectures/08/Slides08.pdf,,
,lectures/08/Small08.pdf,,
,lectures/08/OnesAndZeros.py,,
,lectures/09/Slides09.pdf,,
,lectures/09/Small09.pdf,,
,lectures/10/Slides10.pdf,,
,lectures/10/Small10.pdf,,
,lectures/11/Slides11.pdf,,
,lectures/11/Small11.pdf,,
,lectures/12/Slides12.pdf,,
,lectures/12/Small12.pdf,,
,lectures/13/Slides13.pdf,,
,lectures/13/Small13.pdf,,
,lectures/14/Slides14.pdf,,
,lectures/14/Small14.pdf,,
,lectures/15/Slides15.pdf,,
,lectures/15/Small15.pdf,,
,lectures/16/Slides16.pdf,,
,lectures/16/Small16.pdf,,
,lectures/17/Slides17.pdf,,
,lectures/17/Small17.pdf,,
,lectures/18/Slides18.pdf,,
,lectures/18/Small18.pdf,,
,lectures/19/Slides19.pdf,,
,lectures/19/Small19.pdf,,
,lectures/20/Slides20.pdf,,
,lectures/20/Small20.pdf,,
,lectures/21/Slides21.pdf,,
,lectures/21/Small21.pdf,,
,lectures/22/Slides22.pdf,,
,lectures/22/Small22.pdf,,
,lectures/23/Slides23.pdf,,
,lectures/23/Small23.pdf,,
,lectures/24/Slides24.pdf,,
,lectures/24/Small24.pdf,,
,lectures/25/Slides25.pdf,,
,lectures/25/Small25.pdf,,
,lectures/26/Slides26.pdf,,
,lectures/26/Small26.pdf,,
,lectures/27/Slides27.pdf,,
,lectures/27/Small27.pdf,,
,lectures/28/Slides28.pdf,,
,lectures/28/Small28.pdf,,
,lectures/29/Slides29.pdf,,
handouts/340S CS103 Final Exam Solutions.pdf,,,
handouts/300 Problem Set 9.pdf,,,
handouts/290 Practice CS103 Final.pdf,,,
handouts/260 Problem Set 8.pdf,,,
handouts/220 Problem Set 7.pdf,,,
handouts/190S CS103 Midterm Solutions.pdf,,,
handouts/200 Problem Set 6.pdf,,,
handouts/170 Problem Set 5.pdf,,,
handouts/160 Exam Strategies.pdf,,,
handouts/120 Problem Set 4.pdf,,,
handouts/100 Problem Set 3.pdf,,,
handouts/080 Problem Set 2.pdf,,,
handouts/050 Problem Set 1.pdf,,,
handouts/020 Problem Set Policies.pdf,,,
handouts/030 Honor Code.pdf,,,
handouts/040 Set Theory Definitions.pdf,,,
handouts/000 Course Information.pdf,,,
handouts/010 Syllabus.pdf,,,
handouts/020 Problem Set Policies.pdf,,,
handouts/030 Honor Code.pdf,,,
handouts/040 Set Theory Definitions.pdf,,,
handouts/070 Guide to Proofs.pdf,,,
handouts/140 Practice Midterm 1.pdf,,,
handouts/140S Practice Midterm 1 Solutions.pdf,,,
handouts/150 Practice Midterm 2.pdf,,,
handouts/150S Practice Midterm 2 Solutions.pdf,,,
handouts/160 Exam Strategies.pdf,,,
handouts/180 Extra Review Problems.pdf,,,
handouts/180S Extra Review Problems Solutions.pdf,,,
handouts/190S CS103 Midterm Solutions.pdf,,,
